geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
81470,-25.571748415488482,-49.33437407992388,* cidade,PR
28930,-22.969370031652062,-42.02983437523808,...arraial do cabo,RJ
87365,-24.2718596772122,-53.0694333134515,4o. centenario,PR
87365,-24.28190538509627,-53.07451607086753,4º centenario,PR
75345,-16.789538999999944,-49.46943049999996,abadia de goias,GO
38540,-18.491228003865487,-47.40481248157731,abadia dos dourados,MG
72940,-16.20077720117397,-48.705618165608,abadiania,GO
72940,-16.203257695503932,-48.70893004210611,abadiânia,GO
35620,-19.17854064959204,-45.43423671826706,abaete,MG
68440,-1.7561962834941953,-48.75584482488355,abaetetuba,PA
35620,-19.17313799823675,-45.435130186433504,abaeté,MG
63240,-7.362800925058046,-39.050916839299525,abaiara,CE
46690,-13.252007072218065,-41.663691792305414,abaira,BA
48680,-8.728318653722969,-39.11634065182151,abare,BA
48680,-8.727003490282959,-39.11596293987663,abaré,BA
86460,-23.31150154944522,-50.30807523927709,abatia,PR
86460,-23.30473194502101,-50.30671144373594,abatiá,PR
46690,-13.251205437457813,-41.6608222326299,abaíra,BA
89636,-27.619307262679353,-51.008037038997,abdon batista,SC
68527,-4.981313999999944,-48.423220999999955,abel figueiredo,PA
89830,-26.5775949510279,-52.3325690489721,abelardo luz,SC
42840,-12.851315999999997,-38.282579999999996,abrantes,BA
42841,-12.861902000711845,-38.28963889055777,abrantes,BA
35365,-20.30802420565503,-42.48052390348736,abre campo,MG
53510,-7.907622553720502,-34.90043231131084,abreu e lima,PE
53520,-7.923303000000002,-34.90632508995663,abreu e lima,PE
53525,-7.915115355982154,-34.90122029837502,abreu e lima,PE
53530,-7.923212999999999,-34.933677749999994,abreu e lima,PE
53540,-7.927051589191967,-34.92106970839896,abreu e lima,PE
53545,-7.91938946585062,-34.90913029155113,abreu e lima,PE
53550,-7.911295578829707,-34.912399666519114,abreu e lima,PE
53560,-7.908116234217072,-34.90881347711807,abreu e lima,PE
53565,-7.904820594494846,-34.90300157216225,abreu e lima,PE
53570,-7.891638296150894,-34.91473728934156,abreu e lima,PE
53580,-7.9033253782964845,-34.9008210364995,abreu e lima,PE
53585,-7.899737897395898,-34.90358957034747,abreu e lima,PE
77693,-9.622442657403377,-49.149720300911845,abreulândia,TO
36263,-18.977746375609975,-48.269237984590916,abreus,MG
35438,-20.368146509331968,-43.13941895672665,acaiaca,MG
65930,-4.963848472667104,-47.490268495301635,acailandia,MA
48360,-11.680706999999945,-38.01298399999996,acajutiba,BA
68690,-1.9610702677356846,-48.195961324600916,acara,PA
62785,-4.226703053699132,-38.710855103008385,acarape,CE
62580,-3.0386819999999446,-40.13562049999996,acarau,CE
62580,-2.898941897453832,-40.00673211021963,acaraú,CE
59370,-6.445687165428185,-36.639352141054836,acari,RN
68690,-1.9642447404924879,-48.20311615681492,acará,PA
64748,-8.222393398005174,-41.07987940806374,acaua,PI
64748,-8.221232314232498,-41.07740644501662,acauã,PI
96445,-31.87021096314626,-54.16137135516769,acegua,RS
96445,-31.867558848489733,-54.16337672508485,aceguá,RS
29687,-19.655909222582128,-40.46336507540551,acioli,ES
63560,-6.103098,-39.448667249999986,acopiara,CE
78480,-15.199589388505151,-56.36694095815544,acorizal,MT
69945,-10.080001045502769,-67.0537194423832,acrelandia,AC
69945,-10.077293855832963,-67.05369213419958,acrelândia,AC
75960,-17.425406999999947,-50.31390049999996,acreuna,GO
75960,-17.404404720085644,-50.38030495808571,acreúna,GO
59650,-5.607458860976597,-36.905586853493794,acu,RN
35147,-19.902229208970322,-43.99422191212101,acucena,MG
35150,-19.076274142613915,-42.54788007556345,acucena,MG
44218,-12.661775303973426,-38.751328908632885,acupe,BA
7097,-23.444346436580304,-46.53902959325411,adamantina,SP
17800,-21.70700746594877,-51.05731540502209,adamantina,SP
39597,-0.9331793302279578,-48.2798854881097,adao colares,MG
76155,-16.418147476549997,-50.16669222951595,adelandia,GO
87895,-22.69291589916388,-52.73694428763919,adhemar de barros,PR
15230,-21.237439267920525,-49.64445801579643,adolfo,SP
83490,-24.747194999999948,-48.84815149999996,adrianopolis,PR
83490,-24.66081753797887,-48.99037575835535,adrianópolis,PR
48435,-10.545297914965174,-38.11481160713436,adustina,BA
56800,-8.070896780389043,-34.907350978543775,afogados da ingazeira,PE
25875,-22.01222443747746,-43.337123104264364,afonso arinos,RJ
59510,-5.502872413201304,-36.49998479934564,afonso bezerra,RN
29600,-20.093964595077995,-41.118706149149475,afonso claudio,ES
29609,-20.07893433699639,-41.12429399999999,afonso claudio,ES
29600,-20.155009039781156,-41.09973436567592,afonso cláudio,ES
65505,-4.132403908923661,-43.325066576724936,afonso cunha,MA
56360,-8.637343437175167,-41.14186055092925,afranio,PE
56360,-8.518156653514188,-41.0062405858408,afrânio,PE
68890,-0.15676982154698302,-50.39281388731495,afua,PA
68890,-0.15878227573058823,-50.392702751632704,afuá,PA
19610,-24.306685360044035,-46.97661011647647,agisse,SP
55495,-8.458772090082999,-35.94292907113632,agrestina,PE
64440,-5.797568713452808,-42.65902389242051,agricolandia,PI
64440,-5.799059562491884,-42.66179726557431,agricolândia,PI
88420,-27.431050328605753,-49.83573092511316,agrolandia,SC
88420,-27.43217616805069,-49.83880432906232,agrolândia,SC
89188,-27.27308447784713,-49.72389999626675,agronomica,SC
89188,-27.277093410508986,-49.71528169877759,agronômica,SC
68533,-6.808264695049806,-50.48237838024672,agua azul do norte,PA
39790,-17.995773109638762,-42.38849782084354,agua boa,MG
78635,-14.114873999999947,-52.46507599999997,agua boa,MT
57490,-9.265381590433726,-37.93332139523538,agua branca,AL
58748,-7.516682819809973,-37.63881289683006,agua branca,PB
64460,-5.897877996408994,-42.639560285880926,agua branca,PI
39629,-16.192079815993335,-41.72616772679282,agua branca de minas,MG
79680,-20.445220676502597,-52.87555346206138,agua clara,MS
38110,-20.060071140101236,-48.108621120413034,agua comprida,MG
89654,-27.006923772938748,-51.55617626450512,agua doce,SC
65578,-2.950481999999944,-42.16434199999995,agua doce do maranhao,MA
29820,-18.55022098232971,-40.978304753497625,agua doce do norte,ES
